id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bone-shibaswap,bone,Bone ShibaSwap,https://assets.coingecko.com/coins/images/16916/large/bone_icon.png?1625625505,1.19,273629451,119,297522967.0,7726540.0,1.22,1.16,0.02888833,2.48624,7111250.0,2.6682,229922965.13636875,230003022.824847,250000000.0,15.5,-92.31475,2021-07-07T02:52:33.198Z,0.0,1.3409994030027736e+37,2021-08-12T23:02:53.007Z,,2023-08-23T03:38:35.081Z
pancakeswap-token,cake,PancakeSwap,https://assets.coingecko.com/coins/images/12632/large/pancakeswap-cake-logo_%281%29.png?1629359065,1.25,267149174,120,937382414.0,29218476.0,1.28,1.22,-0.02343794159721413,-1.84073,-5134493.743936151,-1.88571,213746148.420874,389468139.66424,750000000.0,43.96,-97.15203,2021-04-30T10:08:22.934Z,0.194441,543.94948,2020-11-03T14:29:34.165Z,,2023-08-23T03:38:35.643Z
conflux-token,cfx,Conflux,https://assets.coingecko.com/coins/images/13079/large/3vuYMbjN.png?1631512305,0.125532,263383167,121,663622338.0,28610024.0,0.128213,0.121389,-0.000634241993307666,-0.5027,-2318749.932091683,-0.87269,2097547687.26523,5284997962.62513,,1.7,-92.60154,2021-03-27T03:43:35.178Z,0.02199898,472.01058,2022-12-30T08:16:30.345Z,,2023-08-23T03:38:34.773Z
first-digital-usd,fdusd,First Digital USD,https://assets.coingecko.com/coins/images/31079/large/firstfigital.jpeg?1690347713,0.999768,260445356,122,260445356.0,16835849.0,1.006,0.996789,0.00061005,0.06106,65156.0,0.02502,260547543.0,260547543.0,,1.026,-2.54516,2023-08-17T23:15:16.752Z,0.942129,6.08505,2023-08-17T21:55:41.478Z,,2023-08-23T03:38:18.798Z
basic-attention-token,bat,Basic Attention,https://assets.coingecko.com/coins/images/677/large/basic-attention-token.png?1547034427,0.173877,259527493,123,261277882.0,19177600.0,0.177004,0.168185,-9.6660007000815e-05,-0.05556,1772893.0,0.68782,1489950991.7326057,1500000000.0,1500000000.0,1.9,-90.82975,2021-11-28T00:23:51.354Z,0.072394,140.7467,2017-07-16T00:00:00.000Z,"{'times': -0.3184370242666144, 'currency': 'eth', 'percentage': -31.84370242666144}",2023-08-23T03:38:38.181Z
gnosis,gno,Gnosis,https://assets.coingecko.com/coins/images/662/large/logo_square_simple_300px.png?1609402668,99.08,256708908,124,297393418.0,1371376.0,101.05,97.48,-1.9648806177153233,-1.94454,-5099099.028415203,-1.94765,2589589.0,3000000.0,3000000.0,644.2,-84.60228,2021-11-08T17:33:29.302Z,6.88,1340.89271,2020-03-13T02:24:11.825Z,,2023-08-23T03:38:42.924Z
1inch,1inch,1inch,https://assets.coingecko.com/coins/images/13469/large/1inch-token.png?1608803028,0.244547,251894363,125,366737177.0,16123174.0,0.246291,0.234053,0.00145594,0.59893,824039.0,0.32821,1030278815.19147,1500000000.0,1500000000.0,8.65,-97.1704,2021-10-27T08:24:54.808Z,0.227729,7.49894,2023-08-17T21:45:12.499Z,,2023-08-23T03:38:41.410Z
osmosis,osmo,Osmosis,https://assets.coingecko.com/coins/images/16724/large/osmo.png?1632763885,0.406818,249756561,126,408075848.0,8994182.0,0.414501,0.399872,-0.007489043764921322,-1.80761,-4070727.732156992,-1.60374,612034655.0,325000000.0,1000000000.0,11.25,-96.37173,2022-03-04T05:12:18.707Z,0.399872,2.06958,2023-08-22T21:41:39.794Z,,2023-08-23T03:38:38.178Z
chia,xch,Chia,https://assets.coingecko.com/coins/images/15174/large/zV5K5y9f_400x400.png?1620024414,30.03,247814744,127,878433034.0,5857599.0,30.41,29.86,-0.22531365416712035,-0.74477,-2102798.2612858117,-0.8414,8252385.40174131,29252367.4011684,,1645.12,-98.17409,2021-05-15T14:24:45.107Z,26.27,14.33935,2022-06-13T09:12:42.846Z,,2023-08-23T03:38:40.596Z
oec-token,okt,OKT Chain,https://assets.coingecko.com/coins/images/13708/large/WeChat_Image_20220118095654.png?1642471094,13.81,246690505,128,290265102.0,492897.0,14.16,13.69,-0.33123091146812733,-2.34207,-5791407.883714318,-2.29379,17847480.0,17847259.5,21000000.0,250.53,-94.47875,2021-05-10T03:09:56.045Z,13.02,6.21197,2022-07-13T00:38:46.306Z,,2023-08-23T03:38:42.388Z
illuvium,ilv,Illuvium,https://assets.coingecko.com/coins/images/14468/large/logo-200x200.png?1682415398,42.87,243463993,129,411850615.0,2763514.0,44.23,41.95,-1.297186536928919,-2.93689,-7715096.126752138,-3.07155,5686651.1725856,9619700.83852445,,1911.26,-97.75617,2021-11-30T15:18:57.382Z,29.23,46.73658,2021-06-22T14:11:59.151Z,,2023-08-23T03:38:36.934Z
helium,hnt,Helium,https://assets.coingecko.com/coins/images/4284/large/Helium_HNT.png?1612620071,1.68,242247150,130,375316508.0,1323052.0,1.78,1.6,-0.09127432308650961,-5.14151,-13851162.33526209,-5.40853,143934820.830308,223000000.0,223000000.0,54.88,-96.93766,2021-11-12T23:08:25.301Z,0.113248,1383.93658,2020-04-18T00:19:10.902Z,,2023-08-23T03:38:43.595Z
enjincoin,enj,Enjin Coin,https://assets.coingecko.com/coins/images/1102/large/enjin-coin-logo.png?1547035078,0.240493,240375255,131,240375255.0,13266617.0,0.242982,0.230563,-0.000695461159099742,-0.28835,-1981557.202204913,-0.81762,1000000000.0,1000000000.0,1000000000.0,4.82,-95.00427,2021-11-25T09:53:41.955Z,0.01865964,1190.2772,2017-11-12T00:00:00.000Z,,2023-08-23T03:38:40.598Z
